timestamp,instrument,timeframe,direction,setup_type,entry_price,stop_loss,take_profit_1,take_profit_2,quantity,risk_amount,fees,slippage,funding,realized_pnl,account_balance_change
2026-09-12T07:00:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,2520.769755,2496.34452,2554.25822,2577.4237,0.74395525,17.23,3.751371,1.875686,0.28851,-3.348922,-3.348922
2026-09-13T14:30:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,2492.00538,2479.95036,2506.97446,2517.7841,0.75227357,8.13,3.75403,1.877017,0.123517,0.812725,0.812725
2026-09-14T16:45:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,2523.911325,2505.09936,2548.97596,2566.5266,0.74282816,13.04,3.773852,1.886933,0.07361,20.339825,20.339825
2026-09-14T19:15:00.000Z,BTCUSDT,15m,SHORT,BEARISH_DIVERGENCE,79036.74186,79732.23832,78092.34252,77436.3842,0.02371572,15.56,3.719573,1.859794,0.177344,25.356336,25.356336
2026-09-15T18:00:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,77003.06229,76577.46,77545.26,77932.38,0.02446625,9.47,3.756603,1.878299,0.011758,-15.118035,-15.118035
2026-09-16T18:45:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,76011.16659,75700.3824,76382.3764,76655.174,0.02474572,6.75,3.753275,1.876636,0.005849,-12.386333,-12.386333
2026-09-16T18:45:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,2410.70475,2395.88796,2429.91806,2443.5301,0.78024947,10.62,3.749407,1.874701,0.005848,-16.250742,-16.250742
2026-09-16T23:45:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,76250.576235,75700.3824,76980.6014,77492.689,0.02459287,12.59,3.755265,1.877634,0.281966,0.786938,0.786938
2026-09-18T01:45:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,76733.3475,76368.61872,77184.57192,77510.9532,0.02443757,7.98,3.764423,1.882215,0.038214,10.267079,10.267079
2026-09-18T01:15:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,2451.94536,2432.99892,2477.30162,2495.0227,0.76485321,13.55,3.775977,1.887995,0.097449,21.346629,21.346629
2026-09-20T10:00:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,80510.245005,79801.6614,81472.5329,82140.8815,0.02337223,15.62,3.782873,1.891442,0.224142,15.458069,15.458069
